ID_EMPRESA;ID_ALMOX;DATA_INICIAL;COD_PRODUTO;SALDO
1;34;01/01/1990 00:00;32263          ;0
1;34;02/08/2016 00:00;34569;1
1;34;02/08/2016 00:00;34570;1
1;34;01/01/1990 00:00;34571;0
1;34;02/08/2016 00:00;35548;11
1;34;02/08/2016 00:00;35585;21
1;34;02/08/2016 00:00;35816;1
1;34;01/01/1990 00:00;36206;0
1;34;02/08/2016 00:00;36208;1
1;34;02/08/2016 00:00;36793;1
1;34;02/08/2016 00:00;36981;1
1;34;01/01/1990 00:00;37120;0
1;34;01/01/1990 00:00;37329;0
1;34;02/08/2016 00:00;38703;1
1;34;02/08/2016 00:00;38829;12
1;34;02/08/2016 00:00;39096;2
1;34;01/01/1990 00:00;42458;0
1;34;02/08/2016 00:00;51693;1
1;34;01/01/1990 00:00;66523;0
1;34;02/08/2016 00:00;67256;1
1;34;02/08/2016 00:00;67627;1
1;34;02/08/2016 00:00;67636;2
1;34;01/01/1990 00:00;68558;0
1;34;01/01/1990 00:00;68559;0
1;34;01/01/1990 00:00;68560;0
1;34;01/01/1990 00:00;69283;0
1;34;01/01/1990 00:00;70169;0
1;34;01/01/1990 00:00;70170;0
1;34;01/01/1990 00:00;70302;0
1;34;01/01/1990 00:00;70477;0
1;34;01/01/1990 00:00;72170;0
1;34;01/01/1990 00:00;74652;0
1;34;02/08/2016 00:00;79112;1
1;34;01/01/1990 00:00;79644;0
1;34;01/01/1990 00:00;79645;0
1;34;01/01/1990 00:00;82487;0
1;34;01/01/1990 00:00;83166;0
1;34;01/01/1990 00:00;83167;0
1;34;01/01/1990 00:00;85103;0
1;34;01/01/1990 00:00;85104;0
1;34;01/01/1990 00:00;85105;0
1;34;01/01/1990 00:00;85258;0
1;34;01/01/1990 00:00;E02010201000000;0
1;34;01/01/1990 00:00;LUV020880041030;0
1;36;01/01/1990 00:00;00025          ;0
1;36;01/01/1990 00:00;00316          ;0
1;36;01/01/1990 00:00;00482;0
1;36;01/01/1990 00:00;00483;0
1;36;01/01/1990 00:00;00530          ;0
1;36;01/01/1990 00:00;00531;0
1;36;02/08/2016 00:00;00533;80
1;36;02/08/2016 00:00;00534;55
1;36;01/01/1990 00:00;01208          ;0
1;36;01/01/1990 00:00;01209;0
1;36;01/01/1990 00:00;01210;0
1;36;01/01/1990 00:00;01211;0
1;36;01/01/1990 00:00;01212;0
1;36;01/01/1990 00:00;01215          ;0
1;36;01/01/1990 00:00;01216          ;0
1;36;01/01/1990 00:00;01270;0
1;36;01/01/1990 00:00;01286          ;0
1;36;01/01/1990 00:00;01320;0
1;36;01/01/1990 00:00;01367          ;0
1;36;01/01/1990 00:00;01373          ;0
1;36;01/01/1990 00:00;01380          ;0
