ID_EMPRESA;MATRICULA
1;020602
1;020603
1;020605
1;020606
1;020614
1;020617
1;020621
1;020622
1;020624
1;020626
1;020627
1;020631
1;020634
1;020640
1;020643
1;020644
1;020647
1;020648
1;020651
1;020652
1;020653
1;020654
1;020655
1;020656
1;020657
1;020658
1;020661
1;020665
1;020666
1;020667
1;020670
1;020671
1;020673
1;020674
1;020675
1;020676
1;020678
1;020681
1;020684
1;020685
1;020686
1;020689
1;020691
1;020713
1;020715
1;020718
1;020735
1;020738
1;020778
1;020809
1;020811
1;020812
1;020813
1;020814
1;020815
1;020816
1;020817
1;020824
1;020835
1;020880
1;020883
1;020884
1;020892
1;020901
1;020904
1;020959
1;020962
1;020967
1;020968
1;021101
1;021109
1;021150
1;021155
1;021158
1;021169
1;021197
1;021225
1;021226
1;021233
1;021235
1;021256
1;021257
1;021266
1;021269
1;021272
1;021277
1;021304
1;021306
1;021308
1;021309
1;021310
1;021311
1;021312
1;021313
1;021315
1;021316
1;021322
1;021323
1;021324
1;021326
1;021327
1;021371
1;021383
1;021392
1;021397
1;021399
1;021403
1;021407
1;021414
1;021424
1;021426
1;021443
1;021449
1;021455
1;021460
1;021507
1;021544
1;021550
1;021582
1;021591
1;021596
1;021597
1;021629
1;021633
1;021718
1;021762
1;021766
1;021772
1;021791
1;021820
1;021824
1;021829
1;021892
1;021900
1;021909
1;021912
1;021917
1;021931
1;021981
1;021991
1;022009
1;022023
1;022042
1;022065
1;022106
1;022116
1;022205
1;022246
1;022324
1;022328
1;022331
1;022333
1;022337
1;022350
1;022409
1;022424
1;022440
1;022475
1;022551
1;022556
1;022561
1;022567
1;022584
1;022585
1;022604
1;022618
1;022619
1;022628
1;022629
1;022650
1;022657
1;022659
1;022660
1;022661
1;022665
1;022666
1;022668
1;022670
1;022674
1;022675
1;022682
1;022683
1;022718
1;022731
1;022735
1;022742
1;022749
1;022811
1;022824
1;022829
1;022874
1;022884
1;022891
1;022897
1;022900
1;022923
1;022931
1;022969
1;022970
1;023006
1;023007
1;023008
1;023013
1;023019
1;023036
1;023039
1;023056
1;023059
1;023060
1;023064
1;023128
1;023133
1;023197
1;023222
1;023254
1;023265
1;023266
1;023282
1;023298
1;023367
1;023370
1;023372
1;023373
1;023374
1;023396
1;023401
1;023406
1;023407
1;023413
1;023450
1;023451
1;023468
1;023470
1;023482
1;023499
1;023506
1;023628
1;023629
1;023630
1;023648
1;023677
1;023703
1;023762
1;023764
1;023773
1;023775
1;023776
1;023821
1;023831
1;023957
1;023970
1;023994
1;023998
1;024000
1;024005
1;024019
1;024028
1;024073
1;024076
1;024084
1;024132
1;024144
1;024148
1;024157
1;024170
1;024172
1;024173
1;024175
1;024180
1;024248
1;024258
1;024259
1;024261
1;024305
1;024310
1;024311
1;024318
1;024320
1;024329
